4.509215677016230606e-01 4.993544154621727404e-01 5.089683504845345929e-01 5.219010059107787036e-01 5.074107469652031632e-01 5.779307459858169516e-01 6.368444758978271114e-01 6.859026975905665457e-01 7.203225719842190067e-01 6.981571444881140565e-01 6.881230808329275028e-01 7.385821085082888704e-01 7.563609362144512183e-01 7.780585732924162334e-01 8.080865375504988624e-01 8.456213527626699200e-01 8.847118405471456892e-01 9.354179959690573920e-01 9.790432565838613765e-01 1.013298943273625907e+00 1.040371852890983551e+00 1.095208550349821008e+00 1.118050637588216656e+00 1.164885865214695615e+00 1.243132137208967203e+00 1.306925226158751618e+00 1.366843046818397411e+00 1.437351943369388207e+00 1.481883133488293813e+00 1.566824135157618647e+00 1.684290734714027904e+00 1.734173228352064333e+00 1.775359971059083719e+00 1.858929950266558384e+00 2.018617104075411728e+00 2.091679244173636931e+00 2.115514661265404328e+00 2.214490675180310397e+00 2.403096151627432508e+00 2.424624285316684613e+00 2.288089702163043082e+00 2.176045685407667296e+00 2.170019625304916655e+00 2.055424326210308017e+00 1.808044403791114085e+00 1.591977177219164430e+00 1.468080106067858992e+00 1.271586654215385748e+00 1.124453842272299831e+00 9.633765377115504069e-01
1.362432673601831290e+00 1.471408350105029683e+00 1.586859529680391123e+00 1.733052530825572202e+00 1.819717477619091417e+00 1.892884480688459936e+00 1.933970461847053679e+00 1.994750730034111852e+00 2.039290591354280924e+00 2.038410799364593906e+00 2.015662553842392679e+00 1.911759029383592434e+00 1.900656216926039477e+00 1.931464171232412319e+00 1.911383469465205875e+00 1.898268977675998892e+00 1.896061021689128268e+00 1.875235873692331579e+00 1.738403144721276661e+00 1.491351174835930715e+00 2.012632337217470369e+00 2.402201342691693053e+00 1.690724813430123818e+00 1.329611756202119022e+00 1.622066330016422642e+00 1.663497456091558080e+00 1.475971002797746401e+00 1.197782694079811749e+00 9.886229367536325530e-01 9.950156813957710122e-01 9.321049010790001255e-01 8.580502175087730832e-01 9.363662892728509268e-01 9.739130615539237645e-01 8.321054509673270205e-01 7.038604916410537982e-01 6.726153512919477162e-01 6.835959106246746186e-01 6.434263048425030718e-01 5.710043915585186758e-01 5.140768271028899328e-01 5.114705452780452521e-01 4.520865973396223647e-01 3.980479907787833893e-01 3.235715838713436598e-01 2.297082389641242062e-01 1.862909571735331671e-01 1.754659078559392682e-01 1.572930755591372964e-01 1.158012131672549183e-01
1.410427829906593988e+00 1.654515885349260973e+00 1.711707537047744809e+00 1.780496043814041141e+00 2.081253897261558183e+00 2.334427861988141117e+00 2.319260469216484211e+00 2.184099487016685437e+00 2.201726980882443563e+00 2.433671371832415442e+00 2.407911744317810410e+00 2.093420277448099220e+00 1.917762424099428653e+00 1.815776722349629502e+00 1.710595946387819755e+00 1.452102510720711281e+00 1.158854426576073182e+00 9.315771297631072478e-01 7.957581898096781625e-01 6.696236277096956346e-01 5.242718175269488468e-01 3.662900909506068281e-01 3.569264990437925889e-01 3.782967222029378074e-01 2.765963004882272536e-01 1.245018098372154269e-01 1.093866439719561739e-01 1.311864790722487017e-01 1.606805581844481801e-01 1.544109054529476943e-01 2.276273815622966989e-01 2.796043206050436436e-01 3.486555585801494050e-01 3.667292533035865776e-01 4.808139783088469232e-01 5.410428186472162615e-01 6.409410125863509444e-01 8.348389343837608889e-01 1.020308408633494146e+00 1.135094056006472396e+00 1.268764257166302478e+00 1.380096067240925706e+00 1.508742717841088821e+00 1.716626484885786175e+00 1.768647992462393015e+00 1.764659219133642765e+00 1.823998011858864787e+00 1.805137283247737923e+00 1.802233222175681826e+00 1.726021657627236472e+00
4.493384831458018674e-02 8.356987525142145490e-02 7.639013060156044088e-02 5.941639477664616489e-03 5.504003371730405159e-02 8.317397101514965863e-02 9.078455543524362181e-02 9.086638904874551337e-02 9.678473947148730216e-02 1.128693617019858458e-01 1.308358983066339465e-01 1.702701382078287140e-01 2.648428314082610369e-01 3.392866577883758006e-01 3.957481364416287062e-01 4.578539037192467798e-01 5.510665915204304710e-01 6.037433683677078111e-01 6.641361738849964613e-01 7.669333110042574342e-01 8.580637315943332455e-01 1.008295406743269007e+00 1.172041943442776901e+00 1.355602630821487242e+00 1.529608888253681354e+00 1.690952966775725930e+00 1.822640302196913753e+00 1.928008023142460559e+00 2.038358862896063162e+00 2.135261848659011807e+00 2.137761325713207761e+00 2.070178884388219842e+00 2.142232143978548553e+00 2.216631224907204878e+00 2.209825746043240891e+00 2.171042029273539065e+00 2.062515353077850389e+00 2.020845301376693826e+00 2.099554762464190372e+00 1.776838470261747682e+00 1.475615906538557676e+00 2.404019517209848633e+00 2.694420207293527714e+00 1.711393652300675639e+00 1.313248863001355904e+00 1.576196163939184824e+00 1.527703322079745130e+00 1.326471938882021417e+00 9.837990355299670586e-01 6.714389415555963581e-01
5.807163006384571391e-01 5.971713547820922674e-01 6.093307199222045556e-01 5.904842371595231398e-01 6.011323170909971259e-01 5.901008994771280713e-01 5.679221375675836958e-01 5.683097527623522938e-01 5.946463281763076925e-01 6.258471671476348863e-01 6.953920769568974203e-01 7.154408418244353474e-01 7.693999606992851792e-01 8.253560999562602474e-01 8.512832142901957111e-01 8.165776018708204020e-01 7.967281532832943824e-01 8.364820735585301037e-01 8.578952159877306638e-01 8.367385131978923862e-01 9.201676820061571727e-01 9.687097177386205793e-01 1.097499989117836972e+00 1.198397404559256030e+00 1.299067952368283985e+00 1.348242869221435436e+00 1.333907662904339375e+00 1.415105142507237845e+00 1.594246809947795329e+00 1.645103774389655049e+00 1.586287633453670409e+00 1.679817000335692478e+00 1.778310106890543807e+00 1.796551960268500947e+00 1.824514841303471968e+00 1.930125255702641596e+00 2.078822023020196141e+00 2.078447551425127049e+00 2.028327059710507640e+00 2.099265030836869439e+00 2.258287467108483160e+00 2.375478427402372805e+00 2.273416721893867454e+00 2.129210259925156556e+00 2.057720514175361171e+00 1.920711697170569110e+00 1.744396531983221088e+00 1.503238401869776641e+00 1.394419719436531535e+00 1.238667263629118054e+00
4.046594233175332400e-01 3.324743033596470054e-01 2.390664887953352080e-01 1.622629143920156780e-01 1.250563879924478095e-01 2.191598564921346248e-01 1.993086942795816718e-01 1.374718054909448151e-01 6.371175374105085554e-02 -4.673149120915355559e-03 -2.461974724490216537e-02 3.749573250637352334e-02 1.996764524015302161e-02 5.404983912457502274e-03 3.043014470348528316e-02 7.877619085965537060e-02 1.258705865500572008e-01 1.766840297986781716e-01 2.554962135231790277e-01 3.952734458560978048e-01 4.491046780204535627e-01 5.542554245023051385e-01 6.693705999105515891e-01 7.533604246491445444e-01 8.900481165280023088e-01 9.690029459753074503e-01 1.070705396271947052e+00 1.253091124895428621e+00 1.421524272936092625e+00 1.573707543744607973e+00 1.643661344231355459e+00 1.817178645147288440e+00 1.995838889879123501e+00 2.042414362216937285e+00 2.072736609741646863e+00 2.298307958214975688e+00 2.454715920962235565e+00 2.332299664581421350e+00 2.183326573957184547e+00 2.189809695134696810e+00 2.196497348440300090e+00 2.237820312503320697e+00 2.248829510403865584e+00 2.185154785886997075e+00 2.186637296644452277e+00 2.093369499984233162e+00 1.723381435288056984e+00 1.943207558025140891e+00 2.321450326323599267e+00 1.743631082648978259e+00
1.950718270840850588e+00 2.054661977452092447e+00 2.115802891505965011e+00 2.203846176183162253e+00 2.238728380972083709e+00 2.206422006402624536e+00 2.105270074531621738e+00 2.117022873163461050e+00 2.047580126257728672e+00 1.925479124469480219e+00 1.901341492945499034e+00 2.043644675004235634e+00 1.976592527331935578e+00 1.685756007490433861e+00 1.664939194830775682e+00 1.767875653575858852e+00 1.560872010156500123e+00 1.595984475286609472e+00 1.618376905680751765e+00 1.305518512578200951e+00 1.140298805873368071e+00 1.155604901698165987e+00 1.154780492413296278e+00 1.011240292780716032e+00 9.109588316121094431e-01 9.466716716571625945e-01 9.398913902339388615e-01 9.173016699698152143e-01 9.096697765533611202e-01 8.874671055636699224e-01 8.928396751249210173e-01 9.321345181996959495e-01 9.273652709262334426e-01 9.133966626713094783e-01 9.164021227639784772e-01 9.757653874988444498e-01 9.739262219172827306e-01 9.662764297118093815e-01 9.954791203876540706e-01 1.003069509883226962e+00 1.011530934992396880e+00 9.824579485630224873e-01 9.530038640516219628e-01 9.151179539527093398e-01 8.637247857509867677e-01 8.387424741125382166e-01 7.742063255767193120e-01 7.013556623342380725e-01 6.722419720110031083e-01 6.200172184776407969e-01
6.312029120406718041e-01 6.935602624788599346e-01 7.696016749424960945e-01 8.118377272052749172e-01 8.935020127687558489e-01 1.006472295564444508e+00 1.102931431347639712e+00 1.147435922821425924e+00 1.214098221175318182e+00 1.251342701445983030e+00 1.328347734888805087e+00 1.431154178467250793e+00 1.429417942101972594e+00 1.443701152385577391e+00 1.503881881149891742e+00 1.536373801077464130e+00 1.567528312260065615e+00 1.592061702108140908e+00 1.559957073529078864e+00 1.632320414088255012e+00 1.737823702484559973e+00 1.811039630314233984e+00 1.820067479249598996e+00 1.888655967823098081e+00 1.994327630714963107e+00 2.063539474861285861e+00 1.941287132470146837e+00 1.758789741364904513e+00 2.030964400240224066e+00 2.645136380302695489e+00 2.314008191570864348e+00 1.642997082130766895e+00 1.578989876815573901e+00 1.759847108967481866e+00 1.823540678820387839e+00 1.623626047804263672e+00 1.235806941491108146e+00 1.122117437218957070e+00 1.085117345357436758e+00 9.665578898590769796e-01 8.643050704685888430e-01 8.001588127827430341e-01 7.079118386153702147e-01 6.880779733951738475e-01 6.280764243146672587e-01 5.593667259219442522e-01 5.038242700236384986e-01 4.862845131097300877e-01 4.742623542170532058e-01 3.819291058389469584e-01
1.380921175701467662e+00 1.575820582917817347e+00 1.689102736540736061e+00 1.823038189013914456e+00 1.913281277548139592e+00 2.074580377324723113e+00 2.219823128008005853e+00 2.101547128902472750e+00 1.988991960627226163e+00 1.831446855740343604e+00 1.753843498633588904e+00 1.661062407653459916e+00 1.504620637679869422e+00 1.394407773582390986e+00 1.291151804715284790e+00 1.203267303215596939e+00 1.250242652147000921e+00 1.352819896334962690e+00 1.181794176747681391e+00 9.426131841873145456e-01 8.973104163816034706e-01 9.550599441012347368e-01 8.675195032770415260e-01 5.531258833770367200e-01 3.965606984579951866e-01 6.686120162626553176e-01 7.719277377885939151e-01 4.871454697283122970e-01 3.287364257822477653e-01 4.480762165016769494e-01 5.995401351277120927e-01 6.713545501889677247e-01 7.727346844764313438e-01 7.832969154532087863e-01 8.189598641703231818e-01 9.507550027410087701e-01 1.144840954009757050e+00 1.371597886359150475e+00 1.585268045246460922e+00 1.647611806097421194e+00 1.760570536050744650e+00 1.776349619342424413e+00 1.796626676258234134e+00 1.798759073605966208e+00 1.820566602698026060e+00 1.769836458549840952e+00 1.681549707847868502e+00 1.647564857339600231e+00 1.615535505148611106e+00 1.457117592457823019e+00
1.454890148850068066e+00 1.844589086386914767e+00 1.882985063681168691e+00 2.029634790549381229e+00 2.302514878199422466e+00 2.342741553897991658e+00 2.187987055692330429e+00 2.115976891933189830e+00 2.168695575465855008e+00 2.087464819548214390e+00 1.876741325503783475e+00 1.727520889895020284e+00 1.483540559775069934e+00 1.363276452016548124e+00 1.269968561698518128e+00 9.912537676107581186e-01 9.073343527326745983e-01 8.017691307171187498e-01 5.683511506138477776e-01 5.012949268830012572e-01 4.670267193525798333e-01 2.651192786638288945e-01 2.497521464017850301e-01 2.182903373751040321e-01 7.195239762066167610e-02 -1.889991070693902058e-03 -4.744396013079865693e-02 -2.777642426138924800e-02 5.664085990897152478e-02 1.046467825023279230e-01 1.325044227849288270e-01 2.885867690206313507e-01 3.841699600232643674e-01 4.538137743093113574e-01 5.987959899609017755e-01 7.778117466018626969e-01 9.728060430820715254e-01 1.159393838939601684e+00 1.296881081354543497e+00 1.464062174323462084e+00 1.631404016488268605e+00 1.748920686396625346e+00 1.832289758293361270e+00 1.899866863791925820e+00 1.946462573692140152e+00 2.007174852100808149e+00 1.954725521942968003e+00 1.880822541226292000e+00 1.866457788637068571e+00 1.788132009172084924e+00
