batch,accuracy,f1_score,precision,Kappa,drift_detected
2,0.924,0.922227222213197,0.9298102273167671,0.9080348499515973,False
3,0.38,0.3301283907899083,0.35268896760247864,0.2590113777607802,True
4,0.734,0.7433990331903502,0.8429960230215264,0.6773410965550704,False
5,0.568,0.4781100733481685,0.44084659716094166,0.4813551996542368,True
6,0.872,0.8612112658784871,0.8833563878839469,0.8458017106372726,False
7,0.326,0.203824567139854,0.3368782201961203,0.18657977311127194,True
8,0.848,0.8484730794042218,0.8562217118443022,0.8175620529070047,False
9,0.346,0.26944964961529055,0.4032696787944879,0.21437289178046648,True
10,0.724,0.682788351620438,0.6707801463271181,0.6686388259249298,False
11,0.44,0.3593357337653648,0.4279634334353897,0.3298357140121778,True
12,0.828,0.8245627697624269,0.8510451797162216,0.7936897862050436,False
13,0.404,0.3298337428772211,0.35734976384282985,0.2733196125671813,True
14,0.724,0.7235520263087736,0.7444711669635834,0.6686690580117263,False
15,0.626,0.5959419533625095,0.5882875512855629,0.5481520142271709,True
16,0.794,0.7916947334215324,0.8287678289706687,0.7531609773866698,False
17,0.41,0.30363152425084755,0.28242253242253246,0.29015895626897914,True
18,0.784,0.7990489579661554,0.8153491436100132,0.7406464627059219,False
19,0.406,0.33659874985588173,0.29403742280356343,0.3121178432462479,True
20,0.926,0.9287039078782516,0.9427123339424757,0.9099239465970728,False
