batch,accuracy,f1_score,precision,Kappa,drift_detected
2,0.922,0.9236848193192427,0.9357541334297284,0.9054728779872995,False
3,0.74,0.6914329232363502,0.6580822989481656,0.6865732815777419,True
4,0.878,0.889899338919498,0.9130639730639731,0.8525929147938718,False
5,0.636,0.5345991155052253,0.48302130848328245,0.5634758832417912,True
6,0.842,0.7949394725766353,0.8559196607304181,0.8097485791349581,False
7,0.446,0.34713381470724264,0.4899365372345274,0.31800275753397667,True
8,0.854,0.8588052248834485,0.8787168036891907,0.8244263793352253,False
9,0.42,0.3258220275616015,0.3172038976881075,0.305522295129077,True
10,0.448,0.3844932387691939,0.6254979923458185,0.3380787014830875,False
11,0.386,0.2977200269463129,0.33070717140164735,0.2625404161482029,True
12,0.82,0.817397036812941,0.8352095487688708,0.7840732423561928,False
13,0.492,0.4328903517617444,0.4294436969401582,0.38242187879907796,True
14,0.766,0.7412840766561919,0.8110174841401933,0.7200970330285501,False
15,0.564,0.5038329386854826,0.4985432361084283,0.47884791921664627,True
16,0.776,0.7671121863827507,0.8084419933289283,0.7316259632710962,False
17,0.612,0.515386455959884,0.46292472747068897,0.5305073424779532,True
18,0.86,0.8653199320833042,0.8700637325637327,0.8318374877481598,False
19,0.482,0.4404094650087646,0.5089541857094039,0.3853703914644797,True
20,0.9,0.9050196377412728,0.9302963259258757,0.8779356476734534,False
